Specification of which SVCs are contained in each TC
TC-ID[-]	SVC-ID[-]	fraction[-]
1	2	0.0525281884239539
1	4	0.0318616887997996
1	7	0.365532448008018
1	9	0.0181107491856678
1	10	0.531966925582561
2	2	0.0170220030729988
2	4	0.0101027345672193
2	7	0.357803508842403
2	9	0.0131054359942557
2	10	0.601966317523123
3	2	0.0127883241477853
3	7	0.319422331087977
3	9	0.0215758318024087
3	10	0.646213512961829
4	2	0.0415771476987321
4	4	0.0423134727307572
4	7	0.355322217851343
4	9	0.0292512683955175
4	10	0.53153589332365
5	2	0.0403232258580686
5	3	0.013651092087367
5	4	0.0145411632930634
5	7	0.434134730778462
5	9	0.0499639971197696
5	10	0.447385790863269
6	2	0.0463498601730422
6	4	0.0160725282935054
6	7	0.466456673834691
6	9	0.0462085188438279
6	10	0.424912418854933
7	2	0.103303596887857
7	7	0.794400993930506
7	10	0.102295409181637
8	2	0.133617397596173
8	4	0.0117076013988825
8	7	0.762672347951923
8	9	0.0104815693210596
8	10	0.0815210837319612
9	2	0.130055415617128
9	4	0.0142770780856423
9	7	0.746136020151134
9	9	0.0162518891687657
9	10	0.09327959697733
10	2	0.132621889947345
10	7	0.807427951284216
10	9	0.0135958036898589
10	10	0.0463543550785803
11	2	0.144983478673848
11	7	0.764841405373725
11	9	0.0271414569081374
11	10	0.0630336590442893
12	2	0.159066818663627
12	3	0.0144797104057919
12	4	0.0110997780044399
12	7	0.709035819283614
12	9	0.0347093058138837
12	10	0.0716085678286434
13	2	0.120473909755483
13	4	0.0683337534660953
13	7	0.445838164860096
13	9	0.0232417443912276
13	10	0.342112427527099
14	2	0.146093342429472
14	4	0.0925297965407922
14	7	0.345409125566837
14	9	0.0365183193547093
14	10	0.379449416108191
15	2	0.0937834351595388
15	3	0.0140690151689382
15	4	0.119261651684382
15	7	0.271191016628836
15	9	0.0247882648214625
15	10	0.476906616536842
16	2	0.098762460637423
16	4	0.0119241029343924
16	7	0.812694305714343
16	10	0.0766191307138416
17	2	0.19200274376097
17	4	0.010894345027942
17	7	0.729527709968326
17	9	0.0138297657715819
17	10	0.0537454354711804
18	2	0.252229910803568
18	3	0.0227090916363345
18	4	0.0219191232350706
18	7	0.594066237350506
18	9	0.0582176712931483
18	10	0.0508579656813727
19	2	0.0451050640045085
19	4	0.112118589485549
19	7	0.332108928427663
19	9	0.0538905885194429
19	10	0.456776829562837
20	2	0.0884773456796296
20	3	0.0106296811095667
20	4	0.14885553433397
20	7	0.26232213033609
20	9	0.0432387028389148
20	10	0.446476605701829
21	2	0.138648908087353
21	4	0.144388448924086
21	7	0.297436205103592
21	9	0.017498600111991
21	10	0.402027837772978
22	2	0.0774361281935903
22	7	0.858037098145093
22	9	0.0174191290435478
22	10	0.0471076446177691
23	2	0.184464562596909
23	4	0.0562396838893613
23	7	0.661641574551093
23	9	0.0184864702645926
23	10	0.0791677086980443
24	2	0.234727561844568
24	4	0.237354320565206
24	7	0.417181618727481
24	10	0.110736498862744
25	2	0.128936105936257
25	4	0.0999949650067972
25	7	0.302713861336287
25	9	0.0921504455968984
25	10	0.37620462212376
26	2	0.0585820782905261
26	4	0.431110976971599
26	7	0.149357639412871
26	9	0.095272588255415
26	10	0.265676717069588
27	3	0.018710187101871
27	4	0.314113141131411
27	9	0.265712657126571
27	10	0.401464014640146
28	2	0.158537926896345
28	4	0.0421321066053303
28	7	0.697404870243512
28	9	0.0119505975298765
28	10	0.0899744987249362
29	2	0.240292402924029
29	3	0.044850448504485
29	4	0.046060460604606
29	7	0.525035250352504
29	9	0.0587805878058781
29	10	0.0849808498084981
30	2	0.276714274283885
30	3	0.0933449351896303
30	4	0.0641802688430149
30	7	0.408735397663626
30	9	0.103016482637222
30	10	0.0540086413826212
31	2	0.0820516410328207
31	3	0.0309506190123802
